Repeticion #1
H,h,Tiempo
3,18,0
3,17.5,8
3,17.0,15
3,16.5,22
3,16.0,29
3,15.5,37
3,15.0,44
3,14.5,51
3,14.0,59
3,13.5,68
Repeticion #2
H,h,Tiempo
5,16,0
5,15.5,9
5,15.0,16
5,14.5,23
5,14.0,32
5,13.5,40
5,13.0,49
5,12.5,57
5,12.0,65
5,11.5,74
Repeticion #3
H,h,Tiempo
7,14,0
7,13.5,7
7,13.0,15
7,12.5,22
7,12.0,31
7,11.5,39
7,11.0,46
7,10.5,53
7,10.0,62
7,9.5,69
Repeticion #4
H,h,Tiempo
9,12,0
9,11.5,7
9,11.0,15
9,10.5,22
9,10.0,31
9,9.5,38
9,9.0,46
9,8.5,55
9,8.0,62
9,7.5,71
Repeticion #5
H,h,Tiempo
11,10,0
11,9.5,7
11,9.0,16
11,8.5,24
11,8.0,32
11,7.5,39
11,7.0,46
11,6.5,53
11,6.0,61
11,5.5,70
