Repetición,Velocidad Media,Aceleracion Media,Velocidad de Salida,Energía Cinética,Tiempo(s),Altura(cm)
1,0.06685253076358114+-2.3205332908862327e-10,-0.0013627377035843186+-7.861446854261464e-12,16.272623370580437+-7.698123756034669e-09,0.13806260316836985+-2.2302587492939342e-10,111,7.32131779321973
2,0.06606068161760549+-2.3205332908862327e-10,0.032134165494562286+-7.861446854261464e-12,16.41889784191965+-7.698123756034669e-09,0.1383509013977927+-2.2302587492939342e-10,112,7.39813286820808
3,0.06331069951414077+-2.3205332908862327e-10,-0.0004623456811762572+-7.861446854261464e-12,16.494264861887164+-7.698123756034669e-09,0.13794398177046618+-2.2302587492939342e-10,113,7.472491096828788
4,0.06822830558269723+-2.3205332908862327e-10,0.03571039964528043+-7.861446854261464e-12,16.439466648376403+-7.698123756034669e-09,0.13491388651311573+-2.2302587492939342e-10,111,7.5520834749700825
5,0.06643826964625867+-2.3205332908862327e-10,0.051570859171521766+-7.861446854261464e-12,16.305442446814595+-7.698123756034669e-09,0.1362390144850923+-2.2302587492939342e-10,112,7.431310987460877
6,0.06828686882097078+-2.3205332908862327e-10,0.05837627069029844+-7.861446854261464e-12,16.511508976659684+-7.698123756034669e-09,0.13481609492039165+-2.2302587492939342e-10,110,7.118479120500148
7,0.06529348504272052+-2.3205332908862327e-10,0.029173455781715388+-7.861446854261464e-12,16.39212993319411+-7.698123756034669e-09,0.13836814778400117+-2.2302587492939342e-10,116,7.197781969136039
8,0.06837489441528835+-2.3205332908862327e-10,0.034706945647191643+-7.861446854261464e-12,16.31678692247864+-7.698123756034669e-09,0.13844442307520913+-2.2302587492939342e-10,110,7.318004731482036
9,0.065055076676417+-2.3205332908862327e-10,-0.0007164284826866318+-7.861446854261464e-12,16.279777206216867+-7.698123756034669e-09,0.13579101312063688+-2.2302587492939342e-10,112,7.161239325404108
10,0.06858420924775187+-2.3205332908862327e-10,0.04589683504261327+-7.861446854261464e-12,16.41988914735465+-7.698123756034669e-09,0.13829761790280204+-2.2302587492939342e-10,110,7.141241649774725
11,0.06895330898198443+-2.3205332908862327e-10,-0.001991220866588733+-7.861446854261464e-12,16.506562746966683+-7.698123756034669e-09,0.1361742809039581+-2.2302587492939342e-10,109,7.318180792518888
12,0.06740463615361551+-2.3205332908862327e-10,0.047784695280789075+-7.861446854261464e-12,16.32520105481255+-7.698123756034669e-09,0.13532508262055795+-2.2302587492939342e-10,112,7.386076484869561
13,0.06814336445175664+-2.3205332908862327e-10,-0.002726043882647508+-7.861446854261464e-12,16.42114518951878+-7.698123756034669e-09,0.13544857568888388+-2.2302587492939342e-10,111,7.449774675386587
14,0.06991053199061444+-2.3205332908862327e-10,0.03392380115941397+-7.861446854261464e-12,16.26679206764418+-7.698123756034669e-09,0.1379476191397373+-2.2302587492939342e-10,108,7.18077155285314
15,0.0662837769590745+-2.3205332908862327e-10,0.00034861828663458605+-7.861446854261464e-12,16.398518556659706+-7.698123756034669e-09,0.13943865949748344+-2.2302587492939342e-10,109,7.260107240295405
16,0.06754002430240105+-2.3205332908862327e-10,0.03138109951353961+-7.861446854261464e-12,16.45925296070455+-7.698123756034669e-09,0.13889611456085113+-2.2302587492939342e-10,111,7.375157550170833
17,0.06418101093252132+-2.3205332908862327e-10,0.042606819577423946+-7.861446854261464e-12,16.222434892818654+-7.698123756034669e-09,0.13586922137769752+-2.2302587492939342e-10,112,7.423142829843094
18,0.06681962704389964+-2.3205332908862327e-10,-0.0006027526056498339+-7.861446854261464e-12,16.511438513315454+-7.698123756034669e-09,0.136969218895193+-2.2302587492939342e-10,110,7.404043929932308
19,0.06486102563104497+-2.3205332908862327e-10,0.00045642100532955476+-7.861446854261464e-12,16.34083372240819+-7.698123756034669e-09,0.13576703377179877+-2.2302587492939342e-10,113,7.150693738216036
20,0.06699262717419306+-2.3205332908862327e-10,0.03072891260020859+-7.861446854261464e-12,16.47524812546761+-7.698123756034669e-09,0.13884990113966775+-2.2302587492939342e-10,112,7.478878758129192
21,0.06591470321643228+-2.3205332908862327e-10,0.03072891260020859+-7.861446854261464e-12,16.408713263102268+-7.698123756034669e-09,0.13539906371788452+-2.2302587492939342e-10,111,7.502545999604994
22,0.06492985449803441+-2.3205332908862327e-10,0.03499507227381833+-7.861446854261464e-12,16.245879024581082+-7.698123756034669e-09,0.13905222212788176+-2.2302587492939342e-10,113,7.484896687404038
23,0.06662592527545703+-2.3205332908862327e-10,-0.002795479067768114+-7.861446854261464e-12,16.253507969547574+-7.698123756034669e-09,0.13639865036335208+-2.2302587492939342e-10,111,7.102536163104636
24,0.06731626034776007+-2.3205332908862327e-10,0.034091947021877234+-7.861446854261464e-12,16.279276659132854+-7.698123756034669e-09,0.13551145434187878+-2.2302587492939342e-10,110,7.562423737436822
25,0.06626800177658188+-2.3205332908862327e-10,0.0031071531851783324+-7.861446854261464e-12,16.24117040089181+-7.698123756034669e-09,0.13890522343173226+-2.2302587492939342e-10,109,7.223099061681186
26,0.0648982209151674+-2.3205332908862327e-10,0.0031071531851783324+-7.861446854261464e-12,16.224295840569603+-7.698123756034669e-09,0.13593937160687283+-2.2302587492939342e-10,109,7.491444389250675
